"activity","subject","tBodyAccstdX","tBodyAccstdY","tBodyAccstdZ","tGravityAccmeanX","tGravityAccmeanY","tGravityAccmeanZ","tGravityAccstdX","tGravityAccstdY","tGravityAccstdZ","tBodyAccJerkstdX","tBodyAccJerkstdY","tBodyAccJerkstdZ","tBodyGyroJerkstdX","tBodyGyroJerkstdY","tBodyGyroJerkstdZ","fBodyAccmeanX","fBodyAccmeanY","fBodyAccmeanZ","fBodyAccstdX","fBodyAccstdY","fBodyAccstdZ","fBodyAccJerkstdX","fBodyAccJerkstdY","fBodyAccJerkstdZ"
1,1,-0.283740258842105,0.114461336747368,-0.260027902210526,0.935223201473684,-0.282165021263158,-0.068102864,-0.976609642526316,-0.971305961473684,-0.947717226105263,-0.113615602435789,0.0670025007684211,-0.502699788526316,-0.207421854757895,-0.304468510631579,-0.404255452631579,-0.202794306326316,0.0897127264021053,-0.331560117789474,-0.319134719578947,0.056040006846,-0.279686751494737,-0.133586606326316,0.106739857136,-0.534713440421053
2,1,-0.35470802509434,-0.00232026501698113,-0.0194792388471698,0.89335109754717,-0.362153364339623,-0.075402939754717,-0.956367027924528,-0.952849233207547,-0.912379410377358,-0.446843887735849,-0.378274426037736,-0.706593530943396,-0.614786508490566,-0.601696656226415,-0.606332002264151,-0.404321784150943,-0.190976720811321,-0.433349702075472,-0.337428188679245,0.0217695106566038,0.0859565543849057,-0.461907025849057,-0.381777065283019,-0.726040200754717
3,1,0.0300353383483878,-0.0319359434489796,-0.230434213204082,0.931874418979592,-0.266610338979592,-0.0621199585938775,-0.950559811632653,-0.937018658979592,-0.895939695102041,-0.012283860544898,-0.101601390640816,-0.345735032326531,-0.487027342244898,-0.238824827530612,-0.268761480242857,0.0382291831510204,0.00154990783591837,-0.225574471693878,0.0243308391387755,-0.112963739953061,-0.297927894693878,-0.0863278966402041,-0.134580008877551,-0.401721464285714
4,1,-0.977229008297872,-0.922618641914894,-0.93958629106383,0.831509933404255,0.204411592680851,0.332043702765957,-0.968457145744681,-0.935517055957447,-0.949040933191489,-0.986430711276596,-0.981371965319149,-0.987910804468085,-0.99173159212766,-0.989518068510638,-0.987935806382979,-0.979641238723404,-0.944084550425532,-0.959184889148936,-0.976412313191489,-0.917275006382979,-0.934469558085106,-0.987492994468085,-0.982513909574468,-0.988339184893617
5,1,-0.995759901509434,-0.973190056415094,-0.979775876981132,0.942952000377358,-0.272983832264151,0.0134905823226415,-0.99376298509434,-0.981225957924528,-0.976324063584906,-0.994604542264151,-0.98564873245283,-0.992251177358491,-0.992945106981132,-0.995137917358491,-0.992108467169811,-0.995249932641509,-0.977070847735849,-0.985297098679245,-0.99602834509434,-0.972293102075472,-0.977937259622642,-0.995073759245283,-0.987018226792453,-0.992349818113208
6,1,-0.9280564692,-0.83682740562,-0.826061401628,-0.24888179828,0.70554977346,0.4458177198,-0.8968300184,-0.90772000676,-0.85236629022,-0.958482112,-0.9241492736,-0.9548551108,-0.9186085208,-0.9679072436,-0.9577901596,-0.9390990524,-0.86706520518,-0.8826668762,-0.9244374346,-0.8336255561,-0.81289155944,-0.9641607086,-0.9322178704,-0.9605869872
1,2,-0.423642838474576,-0.0780912533118644,-0.425257524915254,0.91301733338983,-0.34660709,0.0847270871186441,-0.972693201355932,-0.972116879661017,-0.972072847627119,-0.277530462620339,-0.0166022362847458,-0.586090418983051,-0.389549831525424,-0.634140436101695,-0.435492677288136,-0.346048161016949,-0.0219048103322034,-0.453806369830508,-0.457651383728814,-0.16921968620339,-0.455222146440678,-0.31431306340678,-0.0153329520084746,-0.615898188474576
2,2,-0.304376406458333,0.108027279889583,-0.112121021220833,0.790717418541667,-0.416214890416667,-0.195888238891667,-0.934407739791667,-0.92376745375,-0.878004056875,-0.276121886479167,-0.185648954220833,-0.5737463525,-0.464854363125,-0.645491337708333,-0.467595961041667,-0.266720933270833,0.00992445881854167,-0.281001986202083,-0.320582414375,0.0848802791083333,-0.09454497643125,-0.365415441458333,-0.243554146666667,-0.625090981458333
3,2,0.0463666814446808,0.262881788951064,-0.10283790806383,0.861831345531915,-0.325780100638298,-0.0438890162723404,-0.940361759574468,-0.940068525531915,-0.931438313191489,0.147249143238298,0.126828014557447,-0.340122023191489,-0.243940592553192,-0.469396701106383,-0.218266318606383,0.112841160325532,0.278345041765957,-0.131290772,0.0161046198595745,0.171973972957447,-0.162032894287234,0.0499590624829787,0.0808333491276596,-0.408227423191489
4,2,-0.986822279565217,-0.950704499130435,-0.95982817173913,0.940477273043478,-0.105630024498783,0.19872676876087,-0.979988760869565,-0.956750273043478,-0.954415873043478,-0.988055854130435,-0.977983955434783,-0.98751821173913,-0.989709023043478,-0.990889614782609,-0.985542325652174,-0.985803840652174,-0.957343498478261,-0.970162172608696,-0.98736209,-0.950073754130435,-0.956862864130435,-0.989459107391304,-0.980804228478261,-0.988570804130435
5,2,-0.987271889259259,-0.957304989259259,-0.949741851296296,0.896928566851852,-0.370062696851852,0.129747161222222,-0.986685818703704,-0.97419442037037,-0.945927078703704,-0.981085715555556,-0.97105943962963,-0.982841446481482,-0.979324000740741,-0.983447258518519,-0.973610118333333,-0.983946739814815,-0.959871697407407,-0.962471195740741,-0.989056469814815,-0.957908842222222,-0.946433583518518,-0.983007923703704,-0.973520241111111,-0.984599905185185
6,2,-0.974059464791667,-0.98027739875,-0.984233296875,-0.509754238125,0.752536639375,0.646834879583333,-0.959014441458333,-0.988211865208333,-0.984230418125,-0.98587216875,-0.98317254125,-0.988442014375,-0.993235849166667,-0.989567537916667,-0.98803582125,-0.976725059791667,-0.979800877916667,-0.984380981875,-0.973246482083333,-0.981025105625,-0.984792185,-0.987250255833333,-0.984987392916667,-0.989345368541667
